"","media","conc","mM","yeast","Mean","trial"
"1","Cd",0,0,"OLY077",0.327709785874486,1
"2","Cd",1,0.01,"OLY077",0.177238878780924,1
"3","Cd",2,0.014,"OLY077",0.143238009481239,1
"4","Cd",3,0.019,"OLY077",0.129752264603026,1
"5","Cd",4,0.023,"OLY077",0.0917753102958052,1
"6","Cd",5,0.028,"OLY077",0.0786110482116816,1
"7","Cd",6,0.032,"OLY077",0.0718768868720095,1
"8","Cd",7,0.037,"OLY077",0.0498273276490953,1
"9","Cd",8,0.041,"OLY077",0.0553301866027904,1
"10","Cd",9,0.046,"OLY077",0.0437787012049403,1
"11","Cd",10,0.05,"OLY077",0.0499338267364221,1
"12","Co",0,0,"OLY077",0.338700329294284,1
"13","Co",1,0.5,"OLY077",0.29746736267174,1
"14","Co",2,0.78,"OLY077",0.204402322421619,1
"15","Co",3,1.06,"OLY077",0.0924206741942379,1
"16","Co",4,1.33,"OLY077",0.10296701345817,1
"17","Co",5,1.61,"OLY077",0.0973463496774703,1
"18","Co",6,1.89,"OLY077",0.061398843627843,1
"19","Co",7,2.17,"OLY077",0.0420661636487315,1
"20","Co",8,2.44,"OLY077",0.0523193816640936,1
"21","Co",9,2.72,"OLY077",0.0395286227306002,1
"22","Co",10,3,"OLY077",0.0384786968732342,1
"23","Cu",0,0,"OLY077",0.312165791144237,1
"24","Cu",1,5,"OLY077",0.269731221365828,1
"25","Cu",2,5.5,"OLY077",0.288577158709854,1
"26","Cu",3,6,"OLY077",0.281102190989128,1
"27","Cu",4,6.5,"OLY077",0.283049692652767,1
"28","Cu",5,7,"OLY077",0.266516644422306,1
"29","Cu",6,7.5,"OLY077",0.27334342523333,1
"30","Cu",7,8,"OLY077",0.251831779533399,1
"31","Cu",8,8.5,"OLY077",0.255958064852383,1
"32","Cu",9,9,"OLY077",0.234140001039348,1
"33","Cu",10,9.5,"OLY077",0.233691770340494,1
"34","Ni",0,0,"OLY077",0.333245518491232,1
"35","Ni",1,1,"OLY077",0.32685988199758,1
"36","Ni",2,1.22,"OLY077",0.317346326326555,1
"37","Ni",3,1.44,"OLY077",0.340381611563245,1
"38","Ni",4,1.67,"OLY077",0.316451339354984,1
"39","Ni",5,1.89,"OLY077",0.315050140797801,1
"40","Ni",6,2.11,"OLY077",0.299034850448354,1
"41","Ni",7,2.33,"OLY077",0.308959391156124,1
"42","Ni",8,2.56,"OLY077",0.264620669754301,1
"43","Ni",9,2.78,"OLY077",0.197038057758725,1
"44","Ni",10,3,"OLY077",0.138477755046162,1
"45","YPAD",0,0,"OLY077",0.315606439525255,1
"46","Zn",0,0,"OLY077",0.341554480304262,1
"47","Zn",1,2,"OLY077",0.323721593697979,1
"48","Zn",2,2.67,"OLY077",0.310013682045899,1
"49","Zn",3,3.33,"OLY077",0.288605544470262,1
"50","Zn",4,4,"OLY077",0.248901318746405,1
"51","Zn",5,4.67,"OLY077",0.211808618725643,1
"52","Zn",6,5.33,"OLY077",0.154191828743988,1
"53","Zn",7,6,"OLY077",0.0986752346054942,1
"54","Zn",8,6.67,"OLY077",0.0352588238272666,1
"55","Zn",9,7.33,"OLY077",0.0166374895638199,1
"56","Zn",10,8,"OLY077",0.0202834497420312,1
"57","Co",0,0,"OLY077",0.323397504625733,2
"58","Co",1,0.5,"OLY077",0.281090891766459,2
"59","Co",2,0.8,"OLY077",0.266455029973578,2
"60","Co",3,1.1,"OLY077",0.105031341688748,2
"61","Co",4,1.4,"OLY077",0.104651203849023,2
"62","Co",5,1.7,"OLY077",0.087386104759742,2
"63","Co",6,2,"OLY077",0.0584345215844569,2
"64","Co",7,2.3,"OLY077",0.0400243171938541,2
"65","Co",8,2.6,"OLY077",0.0360443926187652,2
"66","Co",9,2.9,"OLY077",0.0379598606436993,2
"67","Co",10,3.2,"OLY077",0.0280097679124699,2
"68","Cu",0,0,"OLY077",0.327765620409629,2
"69","Cu",1,7.5,"OLY077",0.278952381081258,2
"70","Cu",2,8.1,"OLY077",0.260725958963389,2
"71","Cu",3,8.7,"OLY077",0.232972442117581,2
"72","Cu",4,9.3,"OLY077",0.233737831917269,2
"73","Cu",5,9.9,"OLY077",0.221486775255538,2
"74","Cu",6,10.5,"OLY077",0.17249082983802,2
"75","Cu",7,11.1,"OLY077",0.109710032902832,2
"76","Cu",8,11.7,"OLY077",0.121928446307947,2
"77","Cu",9,12.3,"OLY077",0.131318644428872,2
"78","Cu",10,12.9,"OLY077",0.0988065947190216,2
"79","Mn",0,0,"OLY077",0.342107573612453,2
"80","Mn",1,0.5,"OLY077",0.331593565825831,2
"81","Mn",2,0.94,"OLY077",0.254883539319017,2
"82","Mn",3,1.39,"OLY077",0.126262194144466,2
"83","Mn",4,1.83,"OLY077",0.0802900660845651,2
"84","Mn",5,2.28,"OLY077",0.0449659602164143,2
"85","Mn",6,2.72,"OLY077",0.0356315817888012,2
"86","Mn",7,3.17,"OLY077",0.02773272995323,2
"87","Mn",8,3.61,"OLY077",0.0238995024992583,2
"88","Mn",9,4.06,"OLY077",0.0223963505407987,2
"89","Mn",10,4.5,"OLY077",0.0228273650944762,2
"90","Ni",0,0,"OLY077",0.323109219296791,2
"91","Ni",1,1.7,"OLY077",0.332599833465415,2
"92","Ni",2,1.94,"OLY077",0.336771313684074,2
"93","Ni",3,2.19,"OLY077",0.32933938137932,2
"94","Ni",4,2.43,"OLY077",0.31026031744504,2
"95","Ni",5,2.68,"OLY077",0.216044525793343,2
"96","Ni",6,2.92,"OLY077",0.163248844749682,2
"97","Ni",7,3.17,"OLY077",0.0947671431920464,2
"98","Ni",8,3.41,"OLY077",0.0836603885020123,2
"99","Ni",9,3.66,"OLY077",0.0850743733201339,2
"100","Ni",10,3.9,"OLY077",0.0681673338294904,2
"101","YPAD",0,0,"OLY077",0.340681681534893,2
"102","Zn",0,0,"OLY077",0.313691817823332,2
"103","Zn",1,2,"OLY077",0.285129423645743,2
"104","Zn",2,2.67,"OLY077",0.296022029503777,2
"105","Zn",3,3.33,"OLY077",0.27891821802369,2
"106","Zn",4,4,"OLY077",0.253682567830094,2
"107","Zn",5,4.67,"OLY077",0.191168679987882,2
"108","Zn",6,5.33,"OLY077",0.141883178300661,2
"109","Zn",7,6,"OLY077",0.107578492258842,2
"110","Zn",8,6.67,"OLY077",0.038579490890811,2
"111","Zn",9,7.33,"OLY077",0.0269688085456169,2
"112","Zn",10,8,"OLY077",0.0161720494958513,2
"113","Cd",1,0.01,"BLANK",0.0143173354505421,3
"114","Cd",2,0.016,"BLANK",0.00291149662157153,3
"115","Cd",3,0.021,"BLANK",0.0158522554194462,3
"116","Cd",4,0.027,"BLANK",0.025363542632828,3
"117","Cd",5,0.033,"BLANK",0.0219984531812933,3
"118","Cd",6,0.039,"BLANK",0.019235835779785,3
"119","Cd",7,0.044,"BLANK",0.00418718191230738,3
"120","Cd",8,0.05,"BLANK",0.00366456436307061,3
"121","Co",1,0.5,"BLANK",0.00452408417395134,3
"122","Co",2,0.89,"BLANK",0.00454010393724502,3
"123","Co",3,1.27,"BLANK",0.0120543236503678,3
"124","Co",4,1.66,"BLANK",0.0203323277880862,3
"125","Co",5,2.04,"BLANK",0.00687123569154124,3
"126","Co",6,2.43,"BLANK",0.0210923852494993,3
"127","Co",7,2.81,"BLANK",0.0255721162800704,3
"128","Co",8,3.2,"BLANK",0.0100039105888072,3
"129","Cu",1,7,"BLANK",0.00924695486848037,3
"130","Cu",2,7.71,"BLANK",0.00571454721320919,3
"131","Cu",3,8.43,"BLANK",0.00595650992973873,3
"132","Cu",4,9.14,"BLANK",0.00576915410999135,3
"133","Cu",5,9.86,"BLANK",0.00778798595613139,3
"134","Cu",6,10.57,"BLANK",0.00733827777432694,3
"135","Cu",7,11.29,"BLANK",0.00829379371847239,3
"136","Cu",8,12,"BLANK",0.00615874442555508,3
"137","Mn",1,0.5,"BLANK",0.016564490912252,3
"138","Mn",2,1,"BLANK",0.0423160740559148,3
"139","Mn",3,1.5,"BLANK",0.0291386737405475,3
"140","Mn",4,2,"BLANK",0.0111011842829356,3
"141","Mn",5,2.5,"BLANK",0.0200680214001991,3
"142","Mn",6,3,"BLANK",0.00431821105539854,3
"143","Mn",7,3.5,"BLANK",0.00417888010861844,3
"144","Mn",8,4,"BLANK",0.00492703389198823,3
"145","Ni",1,1.9,"BLANK",0.0125085283131376,3
"146","Ni",2,2.2,"BLANK",0.00850272792174422,3
"147","Ni",3,2.5,"BLANK",0.00512994844381609,3
"148","Ni",4,2.8,"BLANK",0.013498628081976,3
"149","Ni",5,3.1,"BLANK",0.0166623489339379,3
"150","Ni",6,3.4,"BLANK",0.0295814911677184,3
"151","Ni",7,3.7,"BLANK",0.0121303719291532,3
"152","Ni",8,4,"BLANK",0.00857491235795038,3
"153","YPAD",0,0,"BLANK",0.0120622694647447,3
"154","Zn",1,2,"BLANK",0.0155487546393829,3
"155","Zn",2,2.86,"BLANK",0.0166024905046136,3
"156","Zn",3,3.71,"BLANK",0.00966259039447692,3
"157","Zn",4,4.57,"BLANK",0.0268561400007528,3
"158","Zn",5,5.43,"BLANK",0.00669104671668919,3
"159","Zn",6,6.29,"BLANK",0.0403990108921448,3
"160","Zn",7,7.14,"BLANK",0.00376342839114585,3
"161","Zn",8,8,"BLANK",0.0193486539901144,3
"162","Cd",1,0.01,"OLY077",0.266066938589549,3
"163","Cd",2,0.016,"OLY077",0.156310481658206,3
"164","Cd",3,0.021,"OLY077",0.151613676454184,3
"165","Cd",4,0.027,"OLY077",0.139592268518414,3
"166","Cd",5,0.033,"OLY077",0.0756321257289194,3
"167","Cd",6,0.039,"OLY077",0.0459706854694097,3
"168","Cd",7,0.044,"OLY077",0.0516264205829842,3
"169","Cd",8,0.05,"OLY077",0.0306016853820109,3
"170","Co",1,0.5,"OLY077",0.296800235344286,3
"171","Co",2,0.89,"OLY077",0.187789380506898,3
"172","Co",3,1.27,"OLY077",0.104843908748283,3
"173","Co",4,1.66,"OLY077",0.0935836021250432,3
"174","Co",5,2.04,"OLY077",0.0447531336396819,3
"175","Co",6,2.43,"OLY077",0.031092751384687,3
"176","Co",7,2.81,"OLY077",0.0278431676751604,3
"177","Co",8,3.2,"OLY077",0.0221002255866113,3
"178","Cu",1,7,"OLY077",0.25722833405332,3
"179","Cu",2,7.71,"OLY077",0.267769350237312,3
"180","Cu",3,8.43,"OLY077",0.259815663692745,3
"181","Cu",4,9.14,"OLY077",0.255810416656862,3
"182","Cu",5,9.86,"OLY077",0.236550421831942,3
"183","Cu",6,10.57,"OLY077",0.165519735277157,3
"184","Cu",7,11.29,"OLY077",0.122938016886935,3
"185","Cu",8,12,"OLY077",0.169808920093735,3
"186","Mn",1,0.5,"OLY077",0.260380027972129,3
"187","Mn",2,1,"OLY077",0.229839547949417,3
"188","Mn",3,1.5,"OLY077",0.117887634252615,3
"189","Mn",4,2,"OLY077",0.0603699051804352,3
"190","Mn",5,2.5,"OLY077",0.037410143479318,3
"191","Mn",6,3,"OLY077",0.0242660042467276,3
"192","Mn",7,3.5,"OLY077",0.0228849775315195,3
"193","Mn",8,4,"OLY077",0.0191504581822007,3
"194","Ni",1,1.9,"OLY077",0.324142371497619,3
"195","Ni",2,2.2,"OLY077",0.265589523436767,3
"196","Ni",3,2.5,"OLY077",0.288873689911299,3
"197","Ni",4,2.8,"OLY077",0.214631472561511,3
"198","Ni",5,3.1,"OLY077",0.127694175148611,3
"199","Ni",6,3.4,"OLY077",0.0837538568831953,3
"200","Ni",7,3.7,"OLY077",0.0551791131786494,3
"201","Ni",8,4,"OLY077",0.0721774004665739,3
"202","YPAD",0,0,"OLY077",0.324401106217842,3
"203","Zn",1,2,"OLY077",0.290072637180542,3
"204","Zn",2,2.86,"OLY077",0.281525743778266,3
"205","Zn",3,3.71,"OLY077",0.271951530115648,3
"206","Zn",4,4.57,"OLY077",0.209703168898197,3
"207","Zn",5,5.43,"OLY077",0.163587540893036,3
"208","Zn",6,6.29,"OLY077",0.0824637750251877,3
"209","Zn",7,7.14,"OLY077",0.0223882855328779,3
"210","Zn",8,8,"OLY077",0.0155013672712793,3
